input,output
This is a writing course that prepares students for the many technical writing tasks they will encounter in the workplace. It provides thorough coverage of the basic skills and common techniques of technical writing.,"['writing course <> education', 'students <> group of people', 'technical writing tasks <> job requirements', 'basic skills <> writing skills', 'common techniques <> writing techniques']"
"""THE EXIT"" Signed by the artist. Size: A3 (29,7 x 42 cm).","['the exit <> artwork title', 'artist <> person/artist name', 'size <> physical attribute']"
"Few minutes walking from ""Le Carreau du Temple"" square, ""Republique"", ""Bastille"" or ""Place des Vosges"".","['Le Carreau du Temple <> Landmark', 'Republique <> Landmark', 'Bastille <> Landmark', 'Place des Vosges <> Landmark']"
"The company offers the Ultra colposcope, a noninvasive device used to screen for cervical cancer by allowing the detection and diagnosis of precancerous lesions on the cervix.","['Ultra colposcope <> Medical device', 'Cervical cancer <> Medical condition', 'Precancerous lesions <> Medical condition', 'Cervix <> Anatomy']"
How can i create a slider only for the head in cc3 ?,"['slider <> user interface element', '', 'head <> body part']"
Your Cub Cadet 7300 Compact Tractor Service manual will come to you in pdf format and is compressed for a lightning fast download! After downloading your Cub Cadet 7300 Compact Tractor Service manual you can view it on your computer or print one or all of the pages needed.,"['Cub Cadet 7300 Compact Tractor <> Product', 'Service manual <> Document', 'Pdf format <> File type', 'Computer <> Device', 'Pages <> Document component']"
"Despite the rather serene appearance of my web page this week, this has personally been a rather hectic week. Following the earlier advice of a number of visitors to my page, I had been trying to avoid too many hours at the computer in an attempt to relieve the stress on my back.","['web page <> website', 'week <> time period', 'visitors <> website users', 'computer <> electronic device', 'stress <> mental/physical strain']"
And now we're delighted to bring you Indigo - the latest colour added to Michael Harding's range of professional oil paints - sold exclusively here at Cass Art this summer.,"['Indigo <> Color', 'Michael Harding <> Brand', 'Cass Art <> Retailer', 'Summer <> Time']"
"The Triangle Scholarly Communication Institute, funded by the Andrew W. Mellon Foundation, invites proposals from groups interested in participating in a unique collaborative program, to be held over four days in Chapel Hill, North Carolina, in October 2018.","['The Triangle Scholarly Communication Institute <> Event/Program', 'Andrew W. Mellon Foundation <> Organization', 'Chapel Hill, North Carolina <> Location', 'October 2018 <> Time']"
"Cervical cancer if not caught early in the precancerous stage can be deadly. Approximately 250,000 women die each year around the world due to the disease, according to Scottish medical device firm DYSIS Medical.","['Cervical cancer <> medical condition', 'precancerous stage <> medical condition', '250,000 women <> demographic group', 'Scottish medical device firm DYSIS Medical <> organization']"
When We Were Kings won an Oscar for Best Documentary in 1997. It feels as fresh as ever.,"['When We Were Kings <> Film Title', 'Oscar <> Award', 'Best Documentary <> Award Category', '1997 <> Year']"
"Their key shareholders - African governments - seem incapable of acting decisively to stop the rot. Russell Southwood look at three different companies - Togo Telecom, Gabon Telecom and Sotelco in Congo-Brazzaville - whose current situation neatly illustrates what’s happening.","['African governments <> Political entity', 'Togo Telecom <> Telecommunications company', 'Gabon Telecom <> Telecommunications company', 'Sotelco <> Telecommunications company', 'Russell Southwood <> Person']"
‚Visual Energy I’ is an album which Marcator recorded in 1986 with the flautist and saxophonist Jürgen Volbeding. It presents the climax of Marcator’s electronic-meditative work.,"['Marcator <> Person', 'Visual Energy I <> Album', '1986 <> Date', 'Flautist <> Person', 'Saxophonist <> Person', 'Jürgen Volbeding <> Person']"
Angel City Derby – shots! shots! shots!,"['Angel City Derby <> Organization', 'shots <> Activity']"
A timeless piece that will be around forever.,['timeless piece <> artistic creation']
Fine art Print (Giclée) Epson Enhanced Matte 192g paper.,"['Fine art print <> Artwork', 'Giclée <> Printing technique', 'Epson Enhanced Matte 192g paper <> Printing paper']"
"NOW AVAILABLE FOR 2019-2020. This exceptionally spacious 8 bedroom property features a large modern kitchen with dishwasher. The bedrooms are all large and are furnished with double beds, wardrobes and desk. The property is situated close to the University in a sought after location.","['2019-2020 <> Time', '8 bedroom property <> Accommodation', 'large modern kitchen <> Kitchen', 'dishwasher <> Appliance', 'bedrooms <> Accommodation', 'double beds <> Furniture', 'wardrobes <> Furniture', 'desk <> Furniture', 'University <> Educational institution', 'sought after location <> Location']"
Prom Updo Hairstyles - Easy Prom Hairstyles. Red carpet ready updos hairstyles are much easier achieve than check out our picks for best easy prom your marks get set.,"['Prom Updo Hairstyles <> Hairstyle', 'Red carpet <> Event Venue', 'Easy Prom Hairstyles <> Hairstyle', 'Best Easy Prom Hairstyles <> Hairstyle', 'Marks <> Idiom', 'Get Set <> Idiom']"
Call us on 0402 139 072 we are more than happy to chat and answer any enquiries. If we happen to miss your call please leave a message and we will contact you asap.,"['0402 139 072 <> phone number', 'chat <> communication method', 'enquiries <> inquiry type', 'message <> communication method', 'asap <> time frame']"
Classroom crisis – Alex Wood. Education Consultant and Genealogist.,"['Classroom crisis <> Issue/problem', 'Alex Wood <> Person']"
Beyoncé is fighting against inequality and world hunger the best way she knows how: with a huge concert.,"['Beyoncé <> Person', 'inequality <> Social Issue', 'world hunger <> Global Issue', 'concert <> Event']"
"The textile/garments industry dominates the Bangladesh industrial landscape. Many nnew jobs – mostly for women – have been created by the country’s dynamic private ready-made garment industry, which grew at double-digit rates through most of the 1990s.","['Bangladesh <> Country', 'textile/garments industry <> Industry', 'new jobs <> Employment', 'women <> Gender', 'private ready-made garment industry <> Industry', 'double-digit rates <> Measurement', '1990s <> Time period']"
Family flat located on an upper floor (with lift) in the North historical Marais area - right bank of Paris.,"['Family flat <> Accommodation', 'Upper floor <> Location', 'Lift <> Facility', 'North historical Marais area <> Location', 'Right bank of Paris <> Location']"
"3 titles of more than 20 minutes each create musical images powered by analogue synthesizers together with brass, guitar and even sitar sounds, which modern digital technology is unlikely to reproduce.","['analogue synthesizers <> musical instrument', 'brass <> musical instrument', 'guitar <> musical instrument', 'sitar <> musical instrument', 'digital technology <> technology']"
The HotHouse is an urban “country cafe” featuring great Southern regional classics such as Shrimp and Grits and Fried Green Tomatoes.,"['The HotHouse <> Restaurant/Cafe', 'Shrimp and Grits <> Food', 'Fried Green Tomatoes <> Food']"
Alsace is well known for it’s beautiful Christmas Markets. The Strasbourg Christmas Market is the oldest Christmas market in France.,"['Alsace <> Location', 'Strasbourg Christmas Market <> Event']"
A screenshot of video footage that shows a man approaching the altar at the Cathedral Basilica of the Sacred Heart and punching Newark Archdiocese Auxiliary Bishop Manuel Cruz in the face during mass on Jan.,"['Cathedral Basilica of the Sacred Heart <> Religious Place', 'Newark Archdiocese Auxiliary Bishop Manuel Cruz <> Religious Leader', 'Mass <> Religious Ceremony', 'Jan <> Time/Date']"
Battery charging cradle for use with 3M™ Versaflo™ Powered Air Turbo.,"['Battery charging cradle <> product', '3M™ Versaflo™ Powered Air Turbo <> product', 'air turbo <> device', 'battery <> object', 'charging <> action', 'cradle <> object']"
AlienDVR - Mobile Software for you AlienDVR  View live images from you mobile!,"['AlienDVR <> Software', 'Mobile <> Hardware', 'Live images <> Media']"
The last week before Christmas is when you’ll see the biggest crowds.,"['Christmas <> Holiday/Event', 'week before Christmas <> Time/Period']"
30pm. Alternatively you can visit the the Vicarage (30 Jubilee Close) on a Thursday afternoon from 1-3pm.,"['Vicarage <> Building', 'Jubilee Close <> Location', 'Thursday afternoon <> Time']"
It is made of beautiful quilted caviar leather with a bold CC logo on the front and silvertone hardware.,"['quilted caviar leather <> material', 'CC logo <> brand/logo', 'silvertone hardware <> material']"
"Hobart made 183-6 batting first, with opener Matthew Wade top-scoring with 58 even as Ben McDermott hit an unbeaten 39.","['Hobart <> Cricket Team', 'Matthew Wade <> Cricketer', 'Ben McDermott <> Cricketer', '58 <> Batting Score', '39 <> Batting Score']"
Generate an official SPE electronic invitation letter to assist you in the visa process.,"['SPE electronic invitation letter <> Official document', 'visa process <> Procedure']"
"The IHC Family-Whānau Liaison programme is a pilot programme running in Northland, Manawatū/Horowhenua and Christchurch with thanks to the IHC Foundation.","['IHC Family-Whānau Liaison programme <> programme name', 'Northland <> geographic location', 'Manawatū/Horowhenua <> geographic location', 'Christchurch <> geographic location', 'IHC Foundation <> organization']"
"We recruit the most senior Java consultants, Java developers and Java programmers delivering professional consulting services for Java project work.","['Java consultants <> Job title', 'Java developers <> Job title', 'Java programmers <> Job title']"
Happy New Year! Welcome Sandhills Music Center to our Dealers!,"['Sandhills Music Center <> Business/organization', 'Dealers <> Business/organization']"
Way back in 1570 at Place Broglie. The Christmas Market takes place every year around the end of November to the end of December.,"['1570 <> Date', 'Place Broglie <> Location', 'Christmas Market <> Event', 'November-December <> Time Period']"
Use our tool to find your best rates.,"['tool <> technology', 'best rates <> finance', '']"
"Traversing southern China, a group of activists led by Ye Haiyan (aka Sparrow) protest a scandalous incident where a school principal and a government official allegedly raped six school girls.","['southern China <> geographical location', 'Ye Haiyan (aka Sparrow) <> person', 'activists <> group', 'school principal <> person', 'government official <> person', 'six school girls <> group', 'rape <> action', 'scandalous incident <> event']"
This chic and durable Chanel Beige Clair Quilted Caviar Leather Grand Shopping Tote Bag will be your new favorite bag.,"['Chanel Beige Clair Quilted Caviar Leather Grand Shopping Tote Bag <> Fashion Item', 'Chanel <> Fashion Brand', 'Caviar Leather <> Material Type', 'Shopping Tote Bag <> Bag Type']"
"We cordially welcome customers from at home and abroad to join us and cooperate with us to enjoy a better future. for Stretch Wrap Target , stretch wrap target , stretch wrap gauge , that will be more conveniently to service our customers.","['customers <> person/group', 'home <> location', 'abroad <> location', 'Stretch Wrap Target <> product/service', 'stretch wrap <> product/service', 'gauge <> measurement', 'service <> action']"
"When you are not behind the wheel, battling traffic and pondering directions that just are not getting you where you want to go, it is best to have someone drive you.","['traffic <> transportation', 'directions <> navigation', 'someone <> transportation service']"
Your quest is to break free of the system and win your freedom. Network Marketing Leads are your best tool to get you to success faster.,"['system <> Oppressive Structure', 'freedom <> Individual Liberty', 'Network Marketing Leads <> Business Strategy', 'success <> Achievement']"
Thread: Supporting our Minecraft Server!,"['Minecraft Server <> Game Server', 'Supporting <> Action']"
Cub Cadet 7300 Compact Tractor Service manuals are available for immediate download. This service is available for only $4. 95 per download! If you have a dirty old paper copy of this manual or a PDF copy of this manual on your computer and it crashed we can help!,"['Cub Cadet 7300 Compact Tractor <> Product', 'Service manuals <> Document', 'Download <> Action', '$4.95 <> Price', 'Paper copy <> Document format', 'PDF copy <> Document format', 'Computer <> Object', 'Crashed <> Event']"
Easily absorbed deeply and rapidly by the skin.,"['skin <> body part', 'absorbed <> process', 'rapidly <> speed', 'deeply <> depth', '']"
This chic and gorgeous leather is paired with sparkling hardware.,"['leather <> material', 'hardware <> accessory', 'sparkling <> texture/appearance', 'chic <> style', 'gorgeous <> appearance']"
Listing courtesy of Lourie Hargis of Coldwell Banker The Real Estate Group.,"['Lourie Hargis <> Person', 'Coldwell Banker The Real Estate Group <> Company']"
Category: Damy radę! Rodzicielstwo RIE w praktyce.,"['Damy radę! <> Motivation/Encouragement', 'Rodzicielstwo RIE <> Parenting method', 'praktyce <> Practice/Implementation']"
"The 70-mile event will see cyclists circuiting the Mt Grenan to Georgetown route, making eight and a half laps of the course, with the start and finishing point being at Colonarie.","['Mt Grenan <> geographical location', 'Georgetown <> geographical location', 'Colonarie <> geographical location', 'cyclists <> occupation', 'course <> event entity', 'laps <> event entity', 'event <> event entity', 'start and finishing point <> event entity']"
"Free Whirlpool washer. It works, but has a leak.","['Whirlpool washer <> Product', 'Free <> Price', 'Leak <> Issue']"
"If you have the ways, means, resources and ultimately the cash to get it done, then you might want to consider really treating yourself to some of the finest services the car industry has to offer.","['ways <> resource', 'means <> resource', 'resources <> resource', 'cash <> resource', 'car industry <> entity']"
Bath seats are one of the most helpful of all the bathroom safety products you will buy along with a good rubber bath mat.,"['Bath seats <> Bathroom safety product', 'Rubber bath mat <> Bathroom safety product']"
Cendien provides technical and functional Java consulting expertise locally in Park.,"['Cendien <> Company', 'Java <> Technology', 'Park <> Location', 'Technical consulting <> Service', 'Functional consulting <> Service', 'Expertise <> Skillset']"
"You can too, if you like. I’m easygoing that way. Maybe it’s my creamy texture and irresistibly tangy flavor.","['creamy texture <> Texture', 'irresistibly tangy flavor <> Flavor']"
"My full name is Monterey Jack Cheese, but most of my friends just call me Jack.","['Monterey Jack Cheese <> person name', 'Jack <> nickname']"
The Solid End Link or SEL bracelet.,['Solid End Link <> Bracelet type']
"How do I calculate this rotation? I understand that it is casued because not all of the hitted vehcile is equally affected by the hitting vehicle, but how do I calculate this?","['rotation <> physical phenomenon', 'hitting vehicle <> object', 'hitted vehicle <> object']"
Or perhaps it’s my versatility. I can work with anything from grilled cheese to nachos.,"['grilled cheese <> food item', 'nachos <> food item']"
"15. As no active threats were reported recently, travelplanning. info is SAFE to browse.","['travelplanning.info <> website', 'active threats <> security issue']"
Closest parking for the Apple Store is near Sears.,"['Apple Store <> Business', 'Closest parking <> Location', 'Sears <> Business']"
"If you wish to arrange a baptism or wedding at St Paul’s or Whitworth Church, or would like to discuss them further, then please call in at St Paul's Church on a Wednesday evening between 6-6.","[""St Paul's Church <> Place of Worship"", 'Whitworth Church <> Place of Worship', 'Baptism <> Religious Sacrament', 'Wedding <> Religious ceremony', 'Wednesday evening <> Time of day']"
Our bar stools are built to last because Florida Patio makes the World’s Finest Patio Furniture!,"['Florida Patio <> Company', ""World's Finest Patio Furniture <> Product Line"", 'Bar stools <> Product']"
"Hi, I''m talking 2D here for simplicity: When I see a vehicle hitting another vehicle''s side, the hitted vehicle moves in the direction of the hitting vehicle and it also ROTATES.","['vehicle <> object', 'side <> object', 'hitted vehicle <> object', 'moves <> action', 'direction <> object', 'hitting vehicle <> object', 'ROTATES <> action']"
"Are you thinking of buying a home in the Vienna, VA area?","['Vienna <> Location', 'VA <> Location', 'home <> Real Estate', 'buying <> Action', 'thinking <> Mental State']"
As part of our April exhibition and events programme: The Whole Is Other (Than The Sum Of Its Parts) - curated by the artist collection Graduate Monthly - Jordan Edge presents his latest sound performance work.,"['April exhibition <> Event', 'The Whole Is Other (Than The Sum Of Its Parts) <> Exhibition', 'Jordan Edge <> Artist', 'sound performance work <> Performance']"
Incontinence is a problem for many people but elderly individuals tend to experience incontinence twice as often as younger people do. Elderly individuals often suffer from a number of problems besides just incontinence as they also end up suffering from constipation as well.,"['Incontinence <> Health Condition', 'elderly individuals <> Age Group', 'constipation <> Health Condition']"
Fav place I've been to so far is Yosemite- I want to go back!,['Yosemite <> Travel Destination']
At the very bottom of the page is a very useful link to the SCA’s parent site welcome page.,"['SCA <> organization', 'parent site welcome page <> webpage']"
"Similarly, you can import an XML file into InDesign and instruct InDesign to display and format the XML data any way you want.","['XML file <> File Format', 'InDesign <> Software Tool']"
"I can pair you with anything without feeling boring, and you’re perfect to wear for any occasion depending on how I style you. Thank you for being you.","['pair <> fashion item', 'boring <> feeling', 'perfect <> quality/characteristic', 'occasion <> event', 'style <> fashion trend']"
"As indies, we all face a similar struggle to get the attention of readers.","['indies <> writer/publisher', 'readers <> audience', 'struggle <> challenge', 'attention <> focus']"
"Her portfolio includes award-winning historic preservation projects and she was an early adopter in the use of green building materials and techniques. Her residential work, some of it in the “Not So Big House” category, has been published in New England House.","['award-winning historic preservation projects <> Preservation Project', 'green building materials and techniques <> Sustainable Building', 'residential work <> Residential Construction', '""Not So Big House"" category <> Small Home Design', 'New England House <> Publication']"
Thank you for being such a reliable piece of clothing. I get so happy on the first official day of spring because I know it’s warm enough to wear you and feel absolutely fabulous!,"['reliable piece of clothing <> Clothing item', 'first official day of spring <> Seasonal event', 'warm enough <> Temperature condition', 'feel absolutely fabulous <> Emotional state']"
1970s: Women work at sewing machines. Fire alarm box. Telephone and fire extinguisher on column. Man opens door and retreats from smoke through emergency exit. Men rush through emergency exit.,"['1970s <> Time Period', 'Women <> Group of People', 'sewing machines <> Object', 'Fire alarm box <> Object', 'Telephone <> Object', 'fire extinguisher <> Object', 'Man <> Individual', 'door <> Object', 'smoke <> Substance', 'emergency exit <> Object', 'Men <> Group of People']"
"Texas homeowners insurance is pricey: On average, Texans pay almost twice as much to insure their homes as most Americans — think $2,000 per year versus $1,100. That said, your annual premium will vary depending on your home’s size, your assets, and your address.","['Texas <> State', 'homeowners insurance <> Insurance', 'Texans <> People', 'Americans <> People', 'annual premium <> Finance', ""home's size <> Property"", 'assets <> Finance', 'address <> Location']"
"Atzmueller, Martin  Becker, Martin  Kibanov, Mark  Scholz, Christoph  Doerfel, Stephan  Hotho, Andreas  Macek, Bjoern-Elmar  Mitzlaff, Folke  Mueller, Juergen  Stumme, Gerd in New Review of Hypermedia and Multimedia 2014 .","['Atzmueller <> Person', 'Martin Becker <> Person', 'Kibanov <> Person', 'Mark Scholz <> Person', 'Christoph Doerfel <> Person', 'Stephan Hotho <> Person', 'Andreas Hotho <> Person', 'Bjoern-Elmar Macek <> Person', 'Folke Mitzlaff <> Person', 'Juergen Mueller <> Person', 'Gerd Stumme <> Person', 'New Review of Hypermedia and Multimedia 2014 <> Publication']"
"Request permission to make further use of datasets or images, as specified under the Terms and Conditions.",['datasets or images <> data and media']
"There used to be about 13 tree farms in Macon County. ""Apparently, 10 years ago during the financial crisis, during the downturn, there were less trees planted"".","['Macon County <> Location', 'tree farms <> Business', 'financial crisis <> Event', 'downturn <> Situation', 'trees <> Object', 'planted <> Action']"
"CNC cutting machine from light weight aircraft-grade aluminum, stain anodized surface finish. Abrasion and corrosion resistant. Compatible with all Arca-Swiss style plates.","['CNC cutting machine <> Product', 'light weight <> Property', 'aircraft-grade aluminum <> Material', 'anodized surface finish <> Surface Finish', 'abrasion resistant <> Property', 'corrosion resistant <> Property', 'Arca-Swiss style plates <> Product']"
magic hand/arm tricks that incorporate the therapeutic exercises needed for rehabilitation.,"['magic hand/arm tricks <> Physical Therapy Technique', 'therapeutic exercises <> Physical Therapy Technique', 'rehabilitation <> Medical Treatment']"
"Yes, public transport can be inexpensive and convenient, but every now and then you could splash out for you and your significant other or even some friends and pretty much go big… and then go home safely and securely.","['public transport <> transportation service', 'significant other <> personal relationship', 'friends <> social group', 'go big <> extravagant experience', 'go home <> return to residence', 'safely <> safety', 'securely <> security']"
"When grabbing a tree, make sure to look at the color: the greener, the better. Gabriella Nucifora, who nodded when asked if she was an ""expert"" in tree-picking and explained from her eight-year-old height, ""It has to be a tall one"".","['tree <> natural object', 'color <> attribute', 'Gabriella Nucifora <> person', 'height <> attribute']"
travelplanning. info was registered 5 years 9 months ago. It is a domain having . info extension. It is estimated worth of $ 8. 95 and have a daily income of around $ 0.,"['travelplanning <> website', '.info <> domain extension', '5 years 9 months <> time period', '$8.95 <> currency value', '$0 <> currency value']"
Sometimes escape is impossible. Sometimes love isn’t enough.,"['escape <> Action/State', 'love <> Emotion/State']"
"In a game that was closer than the final score indicated, the Fillmore Central Panthers were downed by the Gordon-Rushville Mustangs 28-7, on Thursday, Oct.","['Fillmore Central Panthers <> Sports Team', 'Gordon-Rushville Mustangs <> Sports Team']"
"Soil Organic Carrier Oil Hemp Seed(Cannabis sativa) Oil. 100ml Use to moisturise, massage or as a bath oil.","['Soil Organic <> Brand Name', 'Carrier Oil <> Entity Type', 'Hemp Seed (Cannabis sativa) Oil <> Ingredient', '100ml <> Measurement', 'Moisturise <> Action', 'Massage <> Action', 'Bath Oil <> Entity Type']"
"While active and monitored closely by scientist, Poas only rarely vents itself in an overt fashion. If you go there, be sure to try a cup of coffee and enjoy the spectacular valley views, and buy fresh strawberries from one of the roadside stands.","['Poas <> Place', 'scientist <> Occupation', 'cup of coffee <> Food/Beverage', 'spectacular valley views <> Scenery/Nature', 'fresh strawberries <> Food/Beverage']"
"We are dedicated to finding a solution for you that not only works, but is reliable and profitable as well.","['solution <> product/service', 'reliable <> quality', 'profitable <> benefit']"
"Poas Volcano is located in Alajuela (well to the north of the International airport! ). One of the most popular tours leaves from Central Valley hotels in the early morning, visits the volcano crater (see lake to right) and then continues on to the La Paz waterfall.","['Poas Volcano <> Natural Landmark', 'Alajuela <> Geographical Location', 'International airport <> Transportation Hub', 'Central Valley hotels <> Accommodation', 'La Paz waterfall <> Natural Landmark']"
"Please refer to the Calendar link above for Week 1 or Week 2, Holidays and PD Days. You must add your last name to the title of your booking.","['Calendar link <> Web link', 'Week 1 <> Calendar week', 'Week 2 <> Calendar week', 'Holidays <> Event', 'PD Days <> Event', 'Last name <> Name', 'Booking title <> Event title']"
"She will surely be back, while tenor Russell Thomas, another Young Artist graduate, singing Ismaele, is another it will be a pleasure to hear again.","['Russell Thomas <> Person', 'Ismaele <> Fictional Character']"
Home & Medical offer a wide range of incontinence products from Lille Healthcare at competitive prices designed to suit every need.,"['Home & Medical <> Company', 'incontinence products <> Product', 'Lille Healthcare <> Company', 'competitive prices <> Pricing']"
And they owe a debt to a certain archmage.,"['a debt <> Financial Obligation', 'archmage <> Magical Being']"
"In the second phase, they're also together.","['second phase <> project milestone', 'together <> collaboration']"
I am completing the form to apply for decree nisi and my exh's middle name has an error on the court papers.,"['form <> legal document', 'decree nisi <> legal term', 'exh <> abbreviation', 'middle name <> personal name', 'court papers <> legal document']"
"Bahrain’s Deputy King, His Royal Highness Prince Salman bin Hamad Al Khalifa met Lieutenant General Sir John Lorimer, the United Kingdom’s Defense Senior Advisor to the Middle East, at Riffa Palace in Manama.","['Bahrain <> Country', 'Deputy King <> Royalty', 'His Royal Highness Prince Salman bin Hamad Al Khalifa <> Royalty', 'Lieutenant General Sir John Lorimer <> Military Officer', 'United Kingdom <> Country', 'Defense Senior Advisor to the Middle East <> Military Officer', 'Riffa Palace <> Landmark']"
"During 2016 Olympic and Paralympic games, half a million people visited Rio de Janeiro. High up on all must-see lists was The Museum of Tomorrow (Museu do Amanhã) – a science museum designed by Spanish architect Santiago Calatrava in 2015.","['2016 Olympic and Paralympic games <> Event', 'Rio de Janeiro <> Location', 'The Museum of Tomorrow <> Museum', 'Museu do Amanhã <> Museum', 'Spanish <> Language', 'Santiago Calatrava <> Person', '2015 <> Time']"
"In honor of the twenty-fifth anniversary of The Sexual Politics of Meat, I asked my editor of the first (and tenth) edition to offer some comments. The Sexual Politics of Meat was originally published by Continuum Publishing, which is now Bloomsbury Academic.","['The Sexual Politics of Meat <> Book Title', 'Continuum Publishing <> Publishing Company', 'Bloomsbury Academic <> Publishing Company']"
"1913. Christmas Eve. Ardis hardly expects a quiet holiday with Wendel, between fleeing Constantinople and hiding from an ancient society of assassins.","['1913 <> Date', 'Christmas Eve <> Holiday', 'Ardis <> Person', 'Wendel <> Person', 'Constantinople <> Location', 'Ancient society of assassins <> Organization']"
"In short, every voice was a joy to hear. ""","['voice <> auditory experience', 'joy <> emotional experience', 'hear <> auditory experience']"
Refine your search of 12 storage facilities in Nogales.,"['12 storage facilities in Nogales <> Location', 'Nogales <> Location', 'Search <> Action', 'Storage facilities <> Entity type', 'Refine <> Action']"
"Now, what we're going to do when we look through history is we're going to focus on the relationship between production and consumption.","['history <> topic', 'relationship <> connection', 'production <> process', 'consumption <> process']"
"BOSTON, England (Reuters) - Above the Polish Mini Mart food and drink store in the small eastern town of Boston, six English flags, the red cross of St George, flutter in the wind in front of an apartment window.","['Boston, England <> Location', 'Polish Mini Mart <> Business', 'English flags <> Symbol', 'St George <> Person/Mythical creature']"
"You can contact e-chapters and e-articles. Without the Ecological Challenges and Conservation Conundrums: Essays and Reflections for a Changing that these are ebook microorganisms, it may provide instant to ensure that these agree some available forum countries.","['e-chapters <> Digital Content', 'e-articles <> Digital Content', 'Ecological Challenges and Conservation Conundrums: Essays and Reflections for a Changing <> Book Title']"
"In 2010 she asked, ""A year later. . . how's that hopey/ changey stuff workin' out for ya? ""","['2010 <> Date', 'hopey/changey stuff <> Political Slogan']"
"The NEW K-75SL is one hot bar stool! From Florida Patio’s new Kingfisher Sling Line. This bar stool features 1. 25″ 100% Pure Extruded Aluminum frame. Unlike many other patio furniture manufacturers, we us . 062″ thick extruded aluminum.","['K-75SL <> Product', 'Florida Patio <> Company', 'Kingfisher Sling Line <> Product Line', 'Pure Extruded Aluminum <> Material', 'Extruded Aluminum <> Material', 'Patio Furniture <> Product Category', '.062"" Thick <> Measurement']"
"The Apple Store is located on the lower level, next to Williams-Sonoma. Boise Towne Square is located a half-mile north of the Interstate 84 - 184 split in western Boise. Traveling Interstate 184, take exit 1A for Franklin Road and follow signs to Boise Towne Square.","['Apple Store <> Store', 'Williams-Sonoma <> Store', 'Boise Towne Square <> Shopping Mall', 'Interstate 84 - 184 split <> Road Junction', 'Interstate 184 <> Highway', 'Exit 1A <> Road Exit', 'Franklin Road <> Street']"
"Adobe InDesign CS5 is one of many applications that can produce and use XML. After you tag content in an InDesign file, you save and export the file as XML so that it can be repurposed in another InDesign file or another application.","['Adobe InDesign CS5 <> Software', 'XML <> Data format', 'InDesign file <> File type', 'Export <> Action', 'Tag content <> Action', 'Repurpose <> Action', 'Application <> Software']"
